062001;Airola;BN;CAM;0823;82011;A110;8147;http://www.comuni-italiani.it/062/001/
062002;Amorosi;BN;CAM;0824;82031;A265;2879;http://www.comuni-italiani.it/062/002/
062003;Apice;BN;CAM;0824;82021;A328;5819;http://www.comuni-italiani.it/062/003/
062004;Apollosa;BN;CAM;0824;82030;A330;2725;http://www.comuni-italiani.it/062/004/
062005;Arpaia;BN;CAM;0823;82011;A431;2001;http://www.comuni-italiani.it/062/005/
062006;Arpaise;BN;CAM;0824;82010;A432;858;http://www.comuni-italiani.it/062/006/
062007;Baselice;BN;CAM;0824;82020;A696;2593;http://www.comuni-italiani.it/062/007/
062008;Benevento;BN;CAM;0824;82100;A783;62035;http://www.comuni-italiani.it/062/008/
062009;Bonea;BN;CAM;0824;82013;A970;1498;http://www.comuni-italiani.it/062/009/
062010;Bucciano;BN;CAM;0823;82010;B239;2064;http://www.comuni-italiani.it/062/010/
062011;Buonalbergo;BN;CAM;0824;82020;B267;1852;http://www.comuni-italiani.it/062/011/
062012;Calvi;BN;CAM;0824;82018;B444;2634;http://www.comuni-italiani.it/062/012/
062013;Campolattaro;BN;CAM;0824;82020;B541;1090;http://www.comuni-italiani.it/062/013/
062014;Campoli del Monte Taburno;BN;CAM;0824;82030;B542;1538;http://www.comuni-italiani.it/062/014/
062015;Casalduni;BN;CAM;0824;82027;B873;1493;http://www.comuni-italiani.it/062/015/
062016;Castelfranco in Miscano;BN;CAM;0824;82022;C106;964;http://www.comuni-italiani.it/062/016/
062017;Castelpagano;BN;CAM;0824;82024;C245;1572;http://www.comuni-italiani.it/062/017/
062018;Castelpoto;BN;CAM;0824;82030;C250;1370;http://www.comuni-italiani.it/062/018/
062019;Castelvenere;BN;CAM;0824;82037;C280;2562;http://www.comuni-italiani.it/062/019/
062020;Castelvetere in Val Fortore;BN;CAM;0824;82023;C284;1442;http://www.comuni-italiani.it/062/020/
062021;Cautano;BN;CAM;0824;82030;C359;2116;http://www.comuni-italiani.it/062/021/
062022;Ceppaloni;BN;CAM;0824;82010;C476;3375;http://www.comuni-italiani.it/062/022/
062023;Cerreto Sannita;BN;CAM;0824;82032;C525;4159;http://www.comuni-italiani.it/062/023/
062024;Circello;BN;CAM;0824;82020;C719;2501;http://www.comuni-italiani.it/062/024/
062025;Colle Sannita;BN;CAM;0824;82024;C846;2680;http://www.comuni-italiani.it/062/025/
062026;Cusano Mutri;BN;CAM;0824;82033;D230;4226;http://www.comuni-italiani.it/062/026/
062027;Dugenta;BN;CAM;0824;82030;D380;2733;http://www.comuni-italiani.it/062/027/
062028;Durazzano;BN;CAM;0823;82015;D386;2261;http://www.comuni-italiani.it/062/028/
062029;Faicchio;BN;CAM;0824;82030;D469;3746;http://www.comuni-italiani.it/062/029/
062030;Foglianise;BN;CAM;0824;82030;D644;3520;http://www.comuni-italiani.it/062/030/
062031;Foiano di Val Fortore;BN;CAM;0824;82020;D650;1484;http://www.comuni-italiani.it/062/031/
062032;Forchia;BN;CAM;0823;82011;D693;1226;http://www.comuni-italiani.it/062/032/
062033;Fragneto L'Abate;BN;CAM;0824;82020;D755;1094;http://www.comuni-italiani.it/062/033/
062034;Fragneto Monforte;BN;CAM;0824;82020;D756;1880;http://www.comuni-italiani.it/062/034/
062035;Frasso Telesino;BN;CAM;0824;82030;D784;2448;http://www.comuni-italiani.it/062/035/
062036;Ginestra degli Schiavoni;BN;CAM;0824;82020;E034;526;http://www.comuni-italiani.it/062/036/
062037;Guardia Sanframondi;BN;CAM;0824;82034;E249;5283;http://www.comuni-italiani.it/062/037/
062038;Limatola;BN;CAM;0823;82030;E589;3916;http://www.comuni-italiani.it/062/038/
062039;Melizzano;BN;CAM;0824;82030;F113;1908;http://www.comuni-italiani.it/062/039/
062040;Moiano;BN;CAM;0823;82010;F274;4142;http://www.comuni-italiani.it/062/040/
062041;Molinara;BN;CAM;0824;82020;F287;1681;http://www.comuni-italiani.it/062/041/
062042;Montefalcone di Val Fortore;BN;CAM;0824;82025;F494;1661;http://www.comuni-italiani.it/062/042/
062043;Montesarchio;BN;CAM;0824;82016;F636;13707;http://www.comuni-italiani.it/062/043/
062044;Morcone;BN;CAM;0824;82026;F717;5150;http://www.comuni-italiani.it/062/044/
062045;Paduli;BN;CAM;0824;82020;G227;4127;http://www.comuni-italiani.it/062/045/
062046;Pago Veiano;BN;CAM;0824;82020;G243;2567;http://www.comuni-italiani.it/062/046/
062047;Pannarano;BN;CAM;0824;82017;G311;2045;http://www.comuni-italiani.it/062/047/
062048;Paolisi;BN;CAM;0823;82011;G318;2018;http://www.comuni-italiani.it/062/048/
062049;Paupisi;BN;CAM;0824;82030;G386;1515;http://www.comuni-italiani.it/062/049/
062050;Pesco Sannita;BN;CAM;0824;82020;G494;2081;http://www.comuni-italiani.it/062/050/
062051;Pietraroja;BN;CAM;0824;82030;G626;600;http://www.comuni-italiani.it/062/051/
062052;Pietrelcina;BN;CAM;0824;82020;G631;3083;http://www.comuni-italiani.it/062/052/
062053;Ponte;BN;CAM;0824;82030;G827;2695;http://www.comuni-italiani.it/062/053/
062054;Pontelandolfo;BN;CAM;0824;82027;G848;2352;http://www.comuni-italiani.it/062/054/
062055;Puglianello;BN;CAM;0824;82030;H087;1400;http://www.comuni-italiani.it/062/055/
062056;Reino;BN;CAM;0824;82020;H227;1281;http://www.comuni-italiani.it/062/056/
062057;San Bartolomeo in Galdo;BN;CAM;0824;82028;H764;5204;http://www.comuni-italiani.it/062/057/
062058;San Giorgio del Sannio;BN;CAM;0824;82018;H894;9902;http://www.comuni-italiani.it/062/058/
062059;San Giorgio La Molara;BN;CAM;0824;82020;H898;3069;http://www.comuni-italiani.it/062/059/
062060;San Leucio del Sannio;BN;CAM;0824;82010;H953;3207;http://www.comuni-italiani.it/062/060/
062061;San Lorenzello;BN;CAM;0824;82030;H955;2364;http://www.comuni-italiani.it/062/061/
062062;San Lorenzo Maggiore;BN;CAM;0824;82034;H967;2213;http://www.comuni-italiani.it/062/062/
062063;San Lupo;BN;CAM;0824;82034;H973;886;http://www.comuni-italiani.it/062/063/
062064;San Marco dei Cavoti;BN;CAM;0824;82029;H984;3596;http://www.comuni-italiani.it/062/064/
062065;San Martino Sannita;BN;CAM;0824;82010;I002;1287;http://www.comuni-italiani.it/062/065/
062066;San Nazzaro;BN;CAM;0824;82018;I049;934;http://www.comuni-italiani.it/062/066/
062067;San Nicola Manfredi;BN;CAM;0824;82010;I062;3642;http://www.comuni-italiani.it/062/067/
062068;San Salvatore Telesino;BN;CAM;0824;82030;I145;4080;http://www.comuni-italiani.it/062/068/
062069;Santa Croce del Sannio;BN;CAM;0824;82020;I179;991;http://www.comuni-italiani.it/062/069/
062070;Sant'Agata De' Goti;BN;CAM;0823;82019;I197;11473;http://www.comuni-italiani.it/062/070/
062071;Sant'Angelo a Cupolo;BN;CAM;0824;82010;I277;4314;http://www.comuni-italiani.it/062/071/
062078;Sant'Arcangelo Trimonte;BN;CAM;0824;82021;F557;643;http://www.comuni-italiani.it/062/078/
062072;Sassinoro;BN;CAM;0824;82026;I455;595;http://www.comuni-italiani.it/062/072/
062073;Solopaca;BN;CAM;0824;82036;I809;4051;http://www.comuni-italiani.it/062/073/
062074;Telese Terme;BN;CAM;0824;82037;L086;7028;http://www.comuni-italiani.it/062/074/
062075;Tocco Caudio;BN;CAM;0824;82030;L185;1570;http://www.comuni-italiani.it/062/075/
062076;Torrecuso;BN;CAM;0824;82030;L254;3496;http://www.comuni-italiani.it/062/076/
062077;Vitulano;BN;CAM;0824;82038;M093;3006;http://www.comuni-italiani.it/062/077/
